sample	timepoint	G0/G1	S	G2/M	Method
CTL01A	-2	26.93	46.62	26.44	auto
CTL02A	-2	31.51	54.02	14.48	auto
CTL04E	-2	41.81	43.38	14.81	auto
CTL08A	-2	33.62	59.15	7.32	auto
CTL01A	0	50.58	49.42	0	auto
CTL02A	0	50.28	49.72	0	auto
CTL04E	0	35.67	63.13	1.2	auto
CTL08A	0	37.51	62.49	0	auto
CHIMERIC	0	38.5	59.68	1.81	auto
CTL01A	5	63.05	29.05	7.9	auto
CTL02A	5	67.05	19.28	13.68	auto
CTL04E	5	62.46	37.54	0	auto
CTL08A	5	54.09	31.51	14.4	auto
CHIMERIC	5	60.83	22.67	16.5	auto
CTL01A	12	78.1	17.94	3.96	auto
CTL02A	12	77.99	16.72	5.29	auto
CTL04E	12	72.75	24.16	3.09	auto
CTL08A	12	75.47	16.47	8.06	auto
CHIMERIC	12	75.82	21.18	2.99	auto
CTL01A	25	87.37	9.81	2.83	auto
CTL02A	25	74.93	20.71	4.36	auto
CTL04E	25	73.24	24.64	2.11	auto
CTL08A	25	74.64	21.82	3.54	auto
CHIMERIC	25	70.89	28.73	0.38	auto
CTL01A	50	96.86	1.89	1.26	auto
CTL02A	50	94.65	2.88	2.47	auto
CTL04E	50	97.37	1.48	1.15	auto
CTL08A	50	97.96	0.86	1.18	auto
CHIMERIC	50	98.72	0.53	0.75	auto
CTL01A	-2	33.39	20.84	45.24	Panini
CTL02A	-2	38.57	24.95	35.95	Panini
CTL04E	-2	45.48	19.99	33.62	Panini
CTL08A	-2	42.61	25.69	30.31	Panini
CTL01A	0	55.58	18.33	21.14	Panini
CTL02A	0	54.3	21.38	20.76	Panini
CTL04E	0	50.24	26.91	20.3	Panini
CTL08A	0	52.88	25.47	16.86	Panini
CHIMERIC	0	53.72	25.99	16.33	Panini
CTL01A	5	72.63	17.18	9.48	Panini
CTL02A	5	70.56	12.73	15.7	Panini
CTL04E	5	75.66	18.11	5.24	Panini
CTL08A	5	80.42	15.03	3.27	Panini
CHIMERIC	5	71.43	15.93	11.83	Panini
CTL01A	12	79.55	7.45	12.08	Panini
CTL02A	12	82.4	7.24	9.96	Panini
CTL04E	12	76.57	9.96	13.05	Panini
CTL08A	12	82.56	7.69	9	Panini
CHIMERIC	12	75.85	9.15	14.15	Panini
CTL01A	25	78.6	9.25	8.03	Panini
CTL02A	25	74.34	10.69	13.3	Panini
CTL04E	25	68.64	13.69	13.73	Panini
CTL08A	25	69.61	12.17	14.83	Panini
CHIMERIC	25	68.12	13.69	13.68	Panini
CTL01A	50	95.34	1.49	2.35	Panini
CTL02A	50	94.49	1.32	3.9	Panini
CTL04E	50	96.64	0.94	2.02	Panini
CTL08A	50	97.82	0.51	1.62	Panini
CHIMERIC	50	93.61	2.8	1.14	Panini
